Name,Holding Type,Shares,Settlement Price,Market Value,Coupon Rate,Client Sector,Client Country,Moody's Rating,S&P Rating,Maturity,
Stone Ridge Opportunities Fund LP,Common Stock,29527,1367,40363409,,Private Fund,United States,,,,74134.01
Grayscale Ethereum Classic Trust,Mutual Funds,1268046,12.01,15229232.46,,Unclassifiable,United States,,,,
Bitwise 10 Crypto Index Fund,Mutual Funds,312202,29.28,9141274.56,,Closed-End Funds,United States,,,,
"Pershing Square Holdings, Ltd.",Mutual Funds,175609,49.2,8639962.8,,Closed-End Funds,Great Britain,,,,
"Chinos Intermediate 2 LLC, TL",Bank Loan,8385014.33,100.53,8429580.68,13.59,Retail - Discretionary,United States,,,2027-09-10T05:00:00,
"Altria Group, Inc.",Corporate Debt,10614000,78.32,8312890.11,4.25,Tobacco & Cannabis,United States,,,2042-08-09T05:00:00,
"Fidelity Emerging Markets, Ltd.",Mutual Funds,933107,6.9,8045131.51,,Investment Trust,Great Britain,,,,
"MFF Capital Investments, Ltd.",Mutual Funds,3135882,3.54,7191225.1,,Closed-end Funds,Australia,,,,
"Wok Holdings, Inc.",Bank Loan,7124223.02,99.16,7064130.2,11.73,Retail - Discretionary,United States,,,2026-03-02T06:00:00,
"Level 3 Financing, Inc.",Bank Loan,7000000,98.52,6896260,11.88,Telecommunications,United States,,,2029-04-16T05:00:00,
BlackRock ESG Capital Allocation Term Trust,Mutual Funds,410267,16.1,6605298.7,,Investment Trust,United States,,,,
"ClubCorp Holdings, Inc.",Bank Loan,6144995.85,100.35,6166503.34,10.56,Leisure Facilities & Services,United States,,,2026-09-18T05:00:00,
"ClearBridge Energy Midstream Opportunity Fund, Inc.",Mutual Funds,136303,40.59,5532538.77,,Closed-End Funds,United States,,,,
PIMCO Dynamic Income Strategy Fund,Mutual Funds,254162,21.23,5395859.26,,Closed-end Funds,United States,,,,
"AMC Entertainment Holdings, Inc.",Bank Loan,5994750.66,87.07,5219539.48,8.43,Leisure Facilities & Services,United States,Caa2,B-,2026-04-22T05:00:00,
"Diebold Nixdorf, Inc.",Bank Loan,5040000,102.5,5166000,12.82,Technology Hardware,United States,,,2028-08-11T05:00:00,
Weibo Corp.,Common Stock,586434,8.62,5055061.08,,Internet Media & Services,China,,,,
"AMERICAN AIRLINES, INC., TL",Bank Loan,5000000,100.48,5023975,8.78,Transportation & Logistics,United States,,,2029-05-17T05:00:00,
Nuveen Multi-Asset Income Fund,Mutual Funds,404273,11.78,4762335.94,,Closed-end Funds,United States,,,,
"VGI Partners Global Investments, Ltd.",Mutual Funds,3653052,1.8,4259594.61,,Closed-end Funds,Australia,,,,
"WAM Global, Ltd.",Mutual Funds,2945191,2.22,4235516.21,,Closed-End Funds,Australia,,,,
